effect,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
cymbale_expiree,12.9386,-1.31102,-0.538907,-0.378916,-0.471464,-0.22761,-0.486994,-0.462501,-0.505221,-0.158843,-0.0619917,-0.0929567,-0.029067
cymbale_expiree,13.5172,-1.05404,-0.746834,-0.4151,-0.451971,-0.24773,-0.48402,-0.480398,-0.525539,-0.193924,-0.0769739,-0.0627712,-0.0260519
cymbale_expiree,12.6682,-1.12811,-0.612262,-0.467454,-0.399801,-0.141812,-0.470429,-0.508617,-0.506058,-0.183248,-0.0478629,-0.049629,-0.0282161
cymbale_expiree,12.7852,-0.989419,-0.711028,-0.514865,-0.389289,-0.168611,-0.44798,-0.537689,-0.545465,-0.21632,-0.0607495,-0.0461502,-0.0265027
cymbale_expiree,12.7532,-1.30282,-0.624149,-0.468124,-0.329432,-0.243137,-0.528055,-0.416591,-0.465313,-0.164294,-0.0502134,-0.0533513,-0.0380917
cymbale_expiree,12.8232,-1.18588,-0.662661,-0.392298,-0.378802,-0.149814,-0.506265,-0.492928,-0.494054,-0.180359,-0.0626127,-0.0618592,0.00247052
cymbale_expiree,12.7878,-1.06818,-0.78999,-0.526014,-0.320945,-0.188007,-0.433792,-0.481192,-0.511019,-0.183535,-0.0325154,-0.0191021,-0.019151
cymbale_expiree,12.5727,-1.11838,-0.729944,-0.519333,-0.370879,-0.141627,-0.526222,-0.492935,-0.410396,-0.177133,-0.0562701,-0.0246205,-0.0525819
cymbale_expiree,12.4465,-1.00167,-0.691155,-0.506519,-0.340855,-0.197695,-0.499356,-0.518332,-0.501055,-0.208069,-0.0406268,-0.0399511,0.00645991
cymbale_expiree,12.4373,-1.17585,-0.638732,-0.45204,-0.369906,-0.16065,-0.452214,-0.451961,-0.483891,-0.177786,-0.0342004,-0.0569654,-0.0113078
cymbale_expiree,12.5442,-1.1873,-0.627496,-0.42524,-0.397042,-0.154022,-0.505608,-0.45165,-0.457387,-0.170684,-0.0502701,-0.0326458,-0.00821763
cymbale_expiree,12.7747,-1.10948,-0.593214,-0.432104,-0.405895,-0.207461,-0.51689,-0.49033,-0.469082,-0.190877,-0.0458647,-0.0621517,-0.0591745
cymbale_expiree,12.3007,-1.10837,-0.623482,-0.336421,-0.32538,-0.236077,-0.548891,-0.400794,-0.457425,-0.19254,-0.0304529,-0.0694313,-0.0571577
cymbale_expiree,12.2774,-1.10604,-0.688533,-0.375261,-0.36933,-0.113456,-0.467492,-0.499277,-0.461732,-0.186557,-0.0295778,-0.078824,-0.0244959
cymbale_expiree,12.5507,-1.19293,-0.595508,-0.426193,-0.435233,-0.184302,-0.50597,-0.441079,-0.440729,-0.148698,-0.0566117,-0.0873299,-0.0477162
cymbale_expiree,12.0671,-1.13525,-0.620208,-0.38923,-0.398738,-0.174021,-0.527791,-0.449253,-0.430426,-0.145072,-0.0462359,-0.0650377,-0.0271784
cymbale_expiree,12.1497,-1.035,-0.610572,-0.399581,-0.367407,-0.277076,-0.538135,-0.453859,-0.445948,-0.16079,-0.0389732,-0.0740096,-0.0382652
cymbale_expiree,12.9308,-1.12498,-0.712365,-0.497609,-0.355064,-0.227094,-0.51897,-0.468188,-0.492637,-0.177542,-0.052685,-0.0545588,-0.0145919
cymbale_expiree,12.0138,-0.936892,-0.704568,-0.472879,-0.255887,-0.265707,-0.484914,-0.478907,-0.456829,-0.15303,-0.0468247,-0.0521819,-0.0273231
cymbale_expiree,12.4151,-1.24395,-0.723465,-0.364161,-0.320276,-0.160687,-0.59782,-0.431458,-0.363229,-0.18237,-0.0450849,-0.0983374,-0.0171674
cymbale_expiree,12.5215,-0.95634,-0.750462,-0.417008,-0.29461,-0.234724,-0.57198,-0.47976,-0.45477,-0.156331,-0.0437313,-0.0507037,-0.0451511
cymbale_expiree,13.2199,-1.05404,-0.767006,-0.435542,-0.396904,-0.200694,-0.575408,-0.488254,-0.477115,-0.220894,-0.0522738,-0.05878,-0.0460028
cymbale_expiree,12.6522,-1.15021,-0.618586,-0.46297,-0.368252,-0.21622,-0.528074,-0.432515,-0.439026,-0.165972,-0.0631962,-0.0805574,-0.0562119
cymbale_expiree,12.1635,-0.911283,-0.668169,-0.552742,-0.368273,-0.285692,-0.440903,-0.49811,-0.461344,-0.148297,-0.0438818,-0.0418845,-0.0406569
cymbale_inspiree,11.1867,-1.58245,-0.431582,-0.188892,-0.543237,-0.442192,-0.509468,-0.235038,-0.327969,-0.148981,-0.0697612,-0.0405015,-0.0469674
